Date,XLE,XLF,XLU,XLI,XLK,XLV,XLY,IYR,AAPL,XLB,XLP,SPY,^DJI,NDX,guardian_headline_mean,guardian_body_mean,guardian_headline_median,guardian_body_median,guardian_headline_min,guardian_headline_max,guardian_body_min,guardian_body_max,Huff_headline_mean,Huff_body_mean,Huff_headline_median,Huff_body_median,Huff_headline_max,Huff_body_max,Huff_headline_min,Huff_body_min,NYT_headline_mean,NYT_headline_median,NYT_body_mean,NYT_body_median,NYT_headline_max,NYT_headline_min,NYT_body_max,NYT_body_min
2022-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,0.02,0.0,0.15,-0.93,0.75,-1.0,1.0,-0.12,0.04,0.0,0.15,0.1,0.88,-0.38,-0.73,0.04,0.0,0.03,0.0,0.82,-0.84,0.88,-0.85
2022-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.01,0.0,-0.19,-0.93,0.64,-1.0,1.0,-0.51,-0.13,-0.61,0.0,0.0,0.51,-0.86,-0.8,-0.04,0.0,-0.11,-0.18,0.77,-0.82,0.74,-0.9
2022-04-25,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.13,-0.08,0.0,-0.7,-0.88,0.79,-1.0,1.0,0.1,-0.25,0.1,-0.25,0.2,0.08,0.0,-0.57,0.05,0.0,0.19,0.0,0.85,-0.8,0.91,-0.94
2022-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-0.12,-0.08,-0.75,-0.93,0.8,-1.0,1.0,-0.26,-0.11,-0.44,0.0,0.36,0.13,-0.8,-0.71,0.0,0.0,-0.03,0.0,0.84,-0.85,0.9,-0.89
2022-04-27,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.13,-0.16,0.0,-0.85,-0.89,0.65,-1.0,1.0,-0.32,-0.12,-0.36,-0.06,0.23,0.32,-0.79,-0.68,0.01,0.0,0.13,0.2,0.82,-0.86,0.86,-0.97
2022-04-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.18,-0.16,0.0,-0.78,-0.89,0.67,-1.0,1.0,-0.19,-0.11,0.0,0.0,0.0,0.0,-0.56,-0.32,-0.03,0.0,0.18,0.0,0.83,-0.88,0.86,-0.91
2022-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.03,0.0,0.04,-0.82,0.68,-1.0,1.0,0.0,0.42,0.0,0.42,0.0,0.42,0.0,0.42,-0.0,0.0,-0.1,0.0,0.8,-0.86,0.79,-0.89
2022-05-02,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.12,-0.02,0.0,-0.01,-0.87,0.8,-1.0,1.0,-0.19,-0.11,-0.17,-0.14,0.0,0.56,-0.44,-0.49,-0.08,-0.06,0.0,0.0,0.67,-0.84,0.95,-0.89
2022-05-03,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.12,0.13,0.0,0.68,-0.83,0.65,-1.0,1.0,0.06,0.31,0.0,0.35,0.56,0.78,-0.32,0.0,-0.04,0.0,0.2,0.34,0.86,-0.84,0.78,-0.87
2022-05-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.11,0.07,0.0,0.56,-0.9,0.71,-1.0,1.0,0.29,0.05,0.29,0.0,0.57,0.61,0.0,-0.4,0.01,0.0,0.15,0.0,0.65,-0.82,0.94,-0.86
