Date,Headline Mean,Headline Median,Body Mean,Body Median
2022-12-28,-0.2,-0.09,-0.3,-0.3
2022-12-29,0.09,0.0,0.22,0.36
2022-12-30,-0.1,0.0,-0.1,-0.11
2022-12-31,-0.12,0.0,0.12,0.0
2023-01-01,0.3,0.4,-0.29,-0.35
2023-01-02,0.07,0.0,-0.19,-0.12
2023-01-03,0.07,0.0,0.01,0.0
2023-01-04,-0.05,0.0,0.02,0.0
2023-01-05,0.02,0.0,0.11,0.0
2023-01-06,0.06,0.0,0.05,0.0
2023-01-07,-0.06,0.0,0.18,0.3
2023-01-08,0.01,0.0,-0.03,0.0
2023-01-09,-0.25,-0.36,0.25,0.2
2023-01-10,-0.08,0.0,-0.02,0.0
2023-01-11,0.08,0.0,0.17,0.0
2023-01-12,-0.11,0.0,0.01,0.0
2023-01-13,-0.14,0.0,-0.01,-0.04
2023-01-14,-0.09,0.0,0.27,0.3
2023-01-15,-0.25,0.0,-0.14,-0.38
2023-01-16,-0.05,0.0,0.12,0.19
2023-01-17,-0.15,0.0,-0.22,-0.15
2023-01-18,-0.11,0.0,0.18,0.18
2023-01-19,0.12,0.0,-0.03,0.0
2023-01-20,-0.1,0.0,0.01,0.0
2023-01-21,-0.09,0.0,-0.05,-0.09
2023-01-22,-0.13,-0.32,0.1,0.13
2023-01-23,-0.03,0.0,-0.03,0.0
2023-01-24,0.08,0.0,0.09,0.04
2023-01-25,-0.01,0.0,-0.13,0.0
2023-01-26,-0.01,0.0,0.15,0.13
2023-01-27,-0.08,0.0,0.17,0.32
2023-01-28,0.11,0.0,0.17,0.25
2023-01-29,0.25,0.3,0.2,0.46
2023-01-30,-0.01,0.0,-0.16,-0.18
2023-01-31,0.13,0.08,0.07,0.1
2023-02-01,0.12,0.0,0.2,0.27
2023-02-02,0.08,0.0,0.09,0.0
2023-02-03,0.14,0.0,-0.01,0.0
2023-02-04,0.01,0.0,-0.06,-0.11
2023-02-05,0.09,0.02,0.11,0.08
2023-02-06,-0.03,0.0,0.05,0.05
2023-02-07,-0.08,0.0,0.2,0.27
2023-02-08,-0.02,0.0,0.03,0.0
2023-02-09,0.14,0.0,-0.03,0.0
2023-02-10,-0.02,0.0,-0.06,0.0
2023-02-11,-0.25,-0.27,-0.04,0.06
2023-02-12,0.13,0.0,0.3,0.3
2023-02-13,0.12,0.0,0.18,0.22
2023-02-14,0.03,0.0,0.02,0.0
2023-02-15,-0.07,0.0,0.19,0.03
2023-02-16,-0.03,0.0,0.03,0.0
2023-02-17,0.04,0.0,0.1,0.13
2023-02-18,0.09,0.0,0.19,0.13
2023-02-19,0.02,0.0,-0.08,-0.06
2023-02-20,0.37,0.48,-0.06,0.0
2023-02-21,0.01,0.0,0.33,0.44
2023-02-22,0.05,0.0,-0.02,0.0
2023-02-23,-0.04,0.0,0.09,0.12
2023-02-24,-0.1,0.0,0.03,0.0
2023-02-25,-0.31,-0.38,-0.0,-0.1
2023-02-26,-0.34,-0.54,-0.08,-0.08
2023-02-27,-0.09,0.0,-0.19,-0.23
2023-02-28,-0.07,0.0,-0.19,0.0
2023-03-01,-0.08,0.0,-0.05,0.0
2023-03-02,-0.21,-0.05,0.02,0.0
2023-03-03,-0.08,0.0,0.01,0.0
2023-03-04,0.07,0.0,0.26,0.34
2023-03-05,-0.12,-0.04,-0.28,-0.33
2023-03-06,-0.18,-0.15,-0.01,0.0
2023-03-07,0.08,0.0,0.07,0.24
2023-03-08,-0.11,0.0,0.13,0.13
2023-03-09,-0.03,0.0,-0.02,0.0
2023-03-10,-0.13,0.0,0.03,0.0
2023-03-11,-0.34,-0.5,-0.38,-0.44
2023-03-12,0.23,0.38,-0.02,0.0
2023-03-13,-0.01,0.0,-0.02,0.0
