Date,Headline Mean,Headline Median,Body Mean,Body Median,Headline Max,Headline Min,Body Max,Body Min
2022-07-10,-0.13,-0.04,0.04,0.0,0.73,-0.76,0.81,-0.93
2022-07-11,-0.21,-0.24,0.04,0.0,0.73,-0.85,0.89,-0.93
2022-07-12,-0.01,0.0,0.04,0.0,0.77,-0.83,0.94,-0.96
2022-07-13,-0.06,0.0,0.01,0.0,0.72,-0.88,0.86,-0.9
2022-07-14,0.01,0.0,0.0,0.0,0.8,-0.84,0.9,-0.92
2022-07-15,-0.1,-0.04,0.1,0.02,0.87,-0.87,0.86,-0.9
2022-07-16,-0.12,-0.33,-0.09,-0.08,0.76,-0.76,0.89,-0.86
2022-07-17,-0.1,0.0,0.44,0.46,0.75,-0.89,0.89,-0.91
2022-07-18,0.06,0.0,0.27,0.32,0.79,-0.9,0.93,-0.95
2022-07-19,-0.0,0.0,0.07,0.0,0.74,-0.76,0.94,-0.9
2022-07-20,-0.13,0.0,-0.0,0.0,0.8,-0.88,0.9,-0.87
2022-07-21,0.03,0.0,-0.03,0.0,0.78,-0.85,0.84,-0.9
2022-07-22,-0.07,0.0,-0.03,0.0,0.85,-0.92,0.89,-0.92
2022-07-23,-0.03,0.0,-0.06,0.0,0.8,-0.81,0.83,-0.93
2022-07-24,0.0,0.0,-0.16,0.0,0.78,-0.75,0.89,-0.9
2022-07-25,0.08,0.0,0.01,0.0,0.89,-0.88,0.86,-0.93
2022-07-26,-0.08,0.0,0.1,0.03,0.84,-0.9,0.94,-0.85
2022-07-27,0.04,0.0,0.05,0.0,0.71,-0.94,0.83,-0.94
2022-07-28,0.04,0.0,0.04,0.0,0.7,-0.84,0.91,-0.89
2022-07-29,0.11,0.0,0.22,0.19,0.81,-0.94,0.86,-0.94
2022-07-30,0.17,0.0,-0.14,0.0,0.8,-0.94,0.66,-0.97
2022-07-31,-0.11,-0.11,0.07,-0.05,0.48,-0.78,0.8,-0.9
2022-08-01,-0.02,0.0,-0.16,-0.03,0.79,-0.88,0.87,-0.97
2022-08-02,-0.03,0.0,0.04,0.04,0.7,-0.8,0.94,-0.91
2022-08-03,0.11,0.0,0.08,0.0,0.79,-0.92,0.9,-0.88
2022-08-04,-0.02,0.0,-0.04,0.0,0.71,-0.86,0.86,-0.85
2022-08-05,0.01,0.0,0.22,0.3,0.86,-0.9,0.83,-0.93
2022-08-06,-0.24,-0.34,0.24,0.15,0.82,-0.82,0.8,-0.92
2022-08-07,0.19,0.19,0.22,0.22,0.74,-0.84,0.86,-0.85
2022-08-08,-0.05,0.0,0.16,0.0,0.6,-0.83,0.8,-0.95
2022-08-09,0.01,0.0,-0.01,0.0,0.77,-0.86,0.94,-0.91
2022-08-10,-0.05,0.0,0.19,0.09,0.81,-0.89,0.87,-0.92
2022-08-11,-0.11,0.0,-0.06,0.0,0.7,-0.9,0.88,-0.96
2022-08-12,-0.1,-0.04,0.13,0.09,0.79,-0.84,0.93,-0.89
2022-08-13,-0.03,0.0,0.09,0.05,0.53,-0.82,0.89,-0.96
2022-08-14,-0.13,0.0,-0.05,0.0,0.76,-0.84,0.8,-0.93
2022-08-15,-0.04,0.0,0.11,0.11,0.85,-0.9,0.88,-0.93
2022-08-16,-0.2,-0.11,-0.08,-0.22,0.82,-0.85,0.92,-0.89
2022-08-17,0.01,0.0,0.19,0.2,0.57,-0.81,0.85,-0.92
2022-08-18,-0.01,0.0,-0.18,-0.12,0.88,-0.86,0.92,-0.97
2022-08-19,0.03,0.0,-0.02,0.0,0.79,-0.67,0.86,-0.82
2022-08-20,0.18,0.0,0.09,0.3,0.87,-0.87,0.9,-0.86
2022-08-21,-0.11,0.0,0.08,0.0,0.64,-0.81,0.82,-0.9
2022-08-22,-0.03,0.0,0.09,0.0,0.59,-0.82,0.89,-0.95
2022-08-23,0.09,0.0,0.11,0.2,0.83,-0.85,0.92,-0.87
2022-08-24,0.08,0.0,0.14,0.0,0.86,-0.85,0.9,-0.94
2022-08-25,0.06,0.0,0.04,0.0,0.7,-0.78,0.94,-0.92
2022-08-26,0.04,0.0,0.0,0.0,0.71,-0.74,0.9,-0.83
2022-08-27,-0.03,0.0,-0.01,-0.15,0.69,-0.83,0.85,-0.89
2022-08-28,0.04,0.0,0.1,0.0,0.64,-0.9,0.78,-0.93
2022-08-29,0.03,0.0,-0.0,0.0,0.78,-0.85,0.89,-0.91
2022-08-30,0.07,0.0,0.04,0.08,0.86,-0.92,0.86,-0.88
2022-08-31,0.02,0.0,0.05,0.0,0.73,-0.81,0.87,-0.83
2022-09-01,0.0,0.0,0.15,0.15,0.8,-0.86,0.87,-0.86
2022-09-02,0.14,0.0,0.04,0.0,0.89,-0.82,0.79,-0.9
2022-09-03,0.04,0.0,-0.1,-0.05,0.64,-0.82,0.84,-0.94
2022-09-04,0.04,0.0,0.06,0.0,0.57,-0.8,0.84,-0.9
2022-09-05,-0.06,0.0,-0.12,0.0,0.72,-0.92,0.8,-0.9
2022-09-06,-0.05,0.0,0.02,0.0,0.8,-0.86,0.83,-0.93
2022-09-07,0.09,0.0,-0.07,0.0,0.65,-0.86,0.84,-0.93
2022-09-08,-0.04,0.0,-0.02,0.0,0.75,-0.9,0.92,-0.93
2022-09-09,-0.01,0.0,0.14,0.14,0.81,-0.8,0.85,-0.91
2022-09-10,0.09,0.0,0.13,0.0,0.94,-0.8,0.87,-0.85
2022-09-11,0.01,0.0,-0.14,0.0,0.77,-0.88,0.9,-0.79
2022-09-12,-0.1,0.0,-0.06,-0.13,0.75,-0.9,0.89,-0.89
2022-09-13,-0.05,0.0,-0.03,-0.03,0.9,-0.87,0.95,-0.89
